"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2018","63.9","51.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019","64.4","52.3"
